,Date,Mark
0,2017-10-08,1.0
1,2017-10-09,1.0
2,2017-10-11,1.0
3,2017-10-12,1.0
4,2017-10-17,1.0
5,2017-10-20,1.0
6,2017-10-23,1.0
7,2017-10-25,1.0
8,2017-10-29,1.0
9,2017-10-31,1.0
10,2017-11-01,1.0
11,2017-11-02,1.0
12,2017-11-09,1.0
13,2017-11-10,1.0
14,2017-11-11,1.0
15,2017-11-14,1.0
16,2017-11-15,1.0
17,2017-11-16,1.0
18,2017-11-19,1.0
19,2017-11-24,1.0
20,2017-11-25,1.0
21,2017-11-26,1.0
22,2017-11-27,1.0
23,2017-11-28,1.0
24,2017-12-01,1.0
25,2017-12-05,1.0
26,2017-12-06,1.0
27,2017-12-10,1.0
28,2017-12-14,1.0
29,2017-12-15,1.0
30,2017-12-16,1.0
31,2017-12-19,1.0
32,2017-12-21,1.0
33,2017-12-25,1.0
34,2017-12-27,1.0
35,2017-12-29,1.0
36,2018-01-02,1.0
37,2018-01-04,1.0
38,2018-01-05,1.0
39,2017-10-07,1.0
40,2017-10-09,1.0
41,2017-10-06,1.0
42,2017-10-10,1.0
43,2017-10-05,1.0
44,2017-10-11,1.0
45,2017-10-08,1.0
46,2017-10-10,1.0
47,2017-10-07,1.0
48,2017-10-11,1.0
49,2017-10-06,1.0
50,2017-10-12,1.0
51,2017-10-10,1.0
52,2017-10-12,1.0
53,2017-10-09,1.0
54,2017-10-13,1.0
55,2017-10-08,1.0
56,2017-10-14,1.0
57,2017-10-11,1.0
58,2017-10-13,1.0
59,2017-10-10,1.0
60,2017-10-14,1.0
61,2017-10-09,1.0
62,2017-10-15,1.0
63,2017-10-16,1.0
64,2017-10-18,1.0
65,2017-10-15,1.0
66,2017-10-19,1.0
67,2017-10-14,1.0
68,2017-10-20,1.0
69,2017-10-19,1.0
70,2017-10-21,1.0
71,2017-10-18,1.0
72,2017-10-22,1.0
73,2017-10-17,1.0
74,2017-10-23,1.0
75,2017-10-22,1.0
76,2017-10-24,1.0
77,2017-10-21,1.0
78,2017-10-25,1.0
79,2017-10-20,1.0
80,2017-10-26,1.0
81,2017-10-24,1.0
82,2017-10-26,1.0
83,2017-10-23,1.0
84,2017-10-27,1.0
85,2017-10-22,1.0
86,2017-10-28,1.0
87,2017-10-28,1.0
88,2017-10-30,1.0
89,2017-10-27,1.0
90,2017-10-31,1.0
91,2017-10-26,1.0
92,2017-11-01,1.0
93,2017-10-30,1.0
94,2017-11-01,1.0
95,2017-10-29,1.0
96,2017-11-02,1.0
97,2017-10-28,1.0
98,2017-11-03,1.0
99,2017-10-31,1.0
100,2017-11-02,1.0
101,2017-10-30,1.0
102,2017-11-03,1.0
103,2017-10-29,1.0
104,2017-11-04,1.0
105,2017-11-01,1.0
106,2017-11-03,1.0
107,2017-10-31,1.0
108,2017-11-04,1.0
109,2017-10-30,1.0
110,2017-11-05,1.0
111,2017-11-08,1.0
112,2017-11-10,1.0
113,2017-11-07,1.0
114,2017-11-11,1.0
115,2017-11-06,1.0
116,2017-11-12,1.0
117,2017-11-09,1.0
118,2017-11-11,1.0
119,2017-11-08,1.0
120,2017-11-12,1.0
121,2017-11-07,1.0
122,2017-11-13,1.0
123,2017-11-10,1.0
124,2017-11-12,1.0
125,2017-11-09,1.0
126,2017-11-13,1.0
127,2017-11-08,1.0
128,2017-11-14,1.0
